reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
A3DXCQV1U6QLTS,B007WTAJTO,Amazon Customer,"[0, 0]","I will keep it short and sweet for potential buyers looking for facts and not b.s.I own two of the 32gb size of these cards for about 3 months now. They do work fairly well with cell phones and tablets, yet not so good with cameras, in fact these cards failed to work with my GoPro Hero3 camera and the customer service rep from Gopro claimed (and I happen to agree with him) that this card is not a true class 10 card let alone UHS-1.Benchmarks with my evo 4g with all allocation sizes the write speed never passed beyond 8mb/s while read speeds wondered around 25mb/s far below advertised speeds, well write speeds arent technically advertised (probably because they are of class 4 level)Benchmarks with crystal mark reported speeds even lower (due to adapter) with write speeds around 6mb/s while read speeds wondered around 20mb/s.Needless to say, if you are not worried about speeds and only about storage, these are perfect. If you want to use them for shooting high definition raw footage however, I suggest you not to loose your money on this, because even if your write speeds are around 10mb/s as the card begins to decay it will slow down to become useless.Again this review is based on GoPro camera and high definition raw recording.. For cell phones or for storage it works perfectly well with a bit of false advertisement..",3,"Decent price for storage space, but not nearly fast enough..",1360195200,7/2/2013,524,0,0
A3R2TY7PFN9VSM,B007WTAJTO,Amazon Customer,"[0, 0]","The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",3,Almost,1375660800,5/8/2013,579,0,0
A1FZKP9XTKMALD,B007WTAJTO,Amazon Customer,"[0, 1]","Does what it says. Hasn't broken yet, and I hope it doesn't break. I've had luck with this brand before. Usually get bored with the product before it breaks.",3,Gets the job done,1375401600,2/8/2013,668,0,1
A308JP3BK4VAL7,B007WTAJTO,Amazon Customer,"[0, 3]","Thus microSD card worked fine for a year in my Samsumg Note II. I mostly used it to listed to downloaded music from Spotify. It has actually failed &#34;twice&#34;. When it failed the first time (the phone couldn't &#34;see&#34; that I had a card installed) I thought maybe something had merely corrupted it, so I formatted it, put it back in my phone, and re-downloaded all my playlists. It worked for two months and then failed again. I don't plan to try formatting it again, I'll switch to a different brand of card.",2,Inadequate life span - lasted 1 year then failed,1398643200,4/28/2014,224,0,3
A392ZR68AKLDCK,B007WTAJTO,"Amazon Customer ""Music Fan""","[1, 1]","I think this is probably a fine product, but it wasn't compatible with my Samsung Galaxy S3 phone. Formatted as exFAT (as it came from the factory), didn't work at all, but that's a known problem with the GS3. But even after reformatting to FAT32, the card caused my phone to reboot multiple times.",3,Not recommended for the Galaxy S3,1374796800,7/26/2013,500,1,1
A2DQ2U5BYIXNUJ,B007WTAJTO,"Amazon Customer ""PawsitivelySafe""","[0, 0]",I have two of these and use them for my Galazy Note 2. It's great having the flexibility to keep extra storage with you for your 'phablet'.So far they have done what they are intended to do.,3,Micro SD Card Functions Well,1387152000,12/16/2013,357,0,0
A14D2PS27PI3FM,B007WTAJTO,Amazon Fan,"[1, 2]","I join the long list of customers who have had their SanDisk die on them.  Customer service from SanDisk has been helpful.  They pay for UPS shipping for the return and promise a 7-10 day turn around once the defective disk has been returned.  Still it's a pain to deal with and I lost some photographs.UPDATE: SanDisk sent me a replacement and it seems to be working.  If the replacement goes bad, I'll be back to complain:)SECOND UPDATE: All is well with the replacement so I'm giving it three stars.",3,Dead after three months,1359936000,4/2/2013,615,1,2
A1Z7FZP81N8CDU,B007WTAJTO,Amazon Shopper,"[0, 1]","I do not get the advertised speed of 30MB/s, more like a 200-300KB/s on my Galaxy S4. At least it gives me a lot of extra storage space, for a phone it works nicely if you don't need to transfer big files.",3,Slow Transfer,1394755200,3/14/2014,269,0,1
A1T8FVB93QQNOM,B007WTAJTO,Andrew M. Swiatek,"[0, 0]",the micro sd works great as described. but beware that the micro sd adapters are faulty. the micro sd will get stuck in the adapter. you will have to carefully rip apart the adapter to get the micro sd out thus damaging the apapter.,3,bad adapters,1372464000,6/29/2013,527,0,0
A3K1JZPUXSADRJ,B007WTAJTO,anonomous,"[0, 2]","than i expected. I don't know if it would kill any manufacturers to actually have a memory card or stick or device to actually HAVE Available the advertised capacity. Fortunately l learned that the advertised and actual available memory are TWO SEPARATE THINGS before i bought it, always scroll down and read the technical spec of a device or anything before you buy as that way ideally, your actually informed. Let the buyer beware, is more appropriate every day as most things are not exactly as they seem. And if it's food and cheap, it's likely cancer causing and don't feed your body and your car in the same place.",3,"Works as advetised, somewhat lower capasity",1362182400,2/3/2013,673,0,2
A1D07XDTMWV0A5,B007WTAJTO,"A. Shieh ""eff.org""","[0, 0]","Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",3,"Reliable, inexpensive, slow",1385769600,11/30/2013,373,0,0
A1HKW2TELCHGLL,B007WTAJTO,astraelraen,"[0, 0]","I bought this primarily to use in my Surface Pro. It would randomly dismount itself. I do not know if it was the Surface's fault or the card's fault. Upon doing a little internet searching, I found this to be a common problem with Sandisk cards and the Surface Pro. I used another brand microSDXC and it has worked fine.",3,"Did not work in Surface Pro, did not try it in another device",1391040000,1/30/2014,312,0,0
A1RI4729EOP9EP,B007WTAJTO,AW,"[0, 0]",This card failed after 2 weeks of use.  I have the same problem with their SSD failed on me after 6 months.,1,Failed,1389052800,7/1/2014,160,0,0
A1JFJLQQJLFT8X,B007WTAJTO,Barye Phillips,"[1, 1]","Hard to review this as the card arrived DOA. Couldn't write to it at all, and it wouldn't format. I returned it and Amazon was great about the credit. I've owned several SanDisk memory cards and they have all performed well and I was a little surprised that this one failed out of the box. I'd read a good review of the Samsung 64GB micro card and I bought that instead. Very pleased with it.",2,I returned it and Amazon was great about the credit,1404345600,3/7/2014,276,1,1
A2VS2ZGJDHVAVV,B007WTAJTO,baseballguy7,"[0, 0]",Stopped working and could not reformat.  Didn't have good luck with this item or the vendor selling this item.  Hopefully just a bad one...sandisk is usually pretty good,2,stopped working after 1st use,1349827200,10/10/2012,789,0,0
A1P314UTUFSY3S,B007WTAJTO,B. Augustine,"[0, 0]",I loaded this memory card into my TF700T and could not get it to install. I found it to be a format issue and could not reformat it to get it to work. I sent it back and got the class 10 sandisc card ( non ultra ) and it loaded perfactly.,2,not for me,1346371200,8/31/2012,829,0,0
A3HQBPUF6IWTP2,B007WTAJTO,Ben,"[0, 0]","Ive had the card for over a month, using it in my Samsung Galaxy Note 10.1.I filled the card with a few TV shows and movies to watch on the go, as well as many PDFs and MS Word Docs.The MS Word and PDF files often get corrupted after use. THe larger files seem to stay intact. I moved the smaller files into the internal storage and havent had problem since.Im hoping Sandisk has a decent return policy.",1,corrupted small files often,1365292800,7/4/2013,522,0,0
A2L8I82INTN5SC,B007WTAJTO,Ben M,"[0, 0]","I bought this for my new samsung galaxy s 4, and the first one I ordered produced formatting issues on my phone every time I rebooted. I looked online and found a number of these got recalled (or something) at one point, and some didn't but just don't work.I returned it for a replacement and the replacement has worked fine in my phone with constant use. I'm on month 4 with no issues.",3,"First one was busted, Second Works fine",1374105600,7/18/2013,508,0,0
AQOUNTL90OL7X,B007WTAJTO,Benoit,"[0, 1]","No way to format it. I even downloaded 2 programs that claimed were able to format it, After wasting about 6 hours, I decided to give up and send it back, The seller should format them before sending them, even if they would charge $5. extra, it would be well worth it instead of the hassle of downloading programs and wasting time trying and sending it back after hours of frustration.",1,What a frustration!,1398124800,4/22/2014,230,0,1
A3P0ZOIUOUFPBT,B007WTAJTO,B. HILL,"[1, 2]",Worked for awhile and then android would blow chunks (unexpectedly removed).  Windows sometimes could not read them and just blew up explorer.  Formated FAT32 .... ect ect ect over and over.  I'm done with SanDisk.  I think the problem is the CLASS 10 part of these cards.  All other cards I have work fine and they are less than class 10.  Maybe this was a bad batch because my replacement card a few days later (from Amazon) did the same thing again.EDIT: Decided to pick up the card that was laying on my counter for the last 3 months and give things another try.  Still does not work in HTC Evo LTE or EVO 3D.  Finally got it working in Galaxy S3.  Still very frustrating.,3,"Two failed cards.  Did not work in HTC EVO LTE, HTC EVO 3D, Transformer (tf101), Galaxy S3",1355270400,12/12/2012,726,1,2
ANJ1R11STS7NX,B007WTAJTO,birkato,"[0, 0]","The product is OK, but my card does not acheive the rated write speed of 10 MB/sec.  Most applications probably don't need to hit 10 MB/sec, but my GoPro Hero 3 does need the full bandwidth and thus would bomb on me sometimes.  As tested, my card got between 8-10 MB/sec using the larger block sizes.  I complained to Sandisk about it and they allowed me to send it in for a replacement which I did (and took almost 2 weeks), but the replacement behaved the same way.  I would say this card is OK for most applications, but if you need top end speed, I would go with another card.  I bought my card in May 2013 and had it replaced in August 2013 so hopefully they have fixed this problem by now.",2,Decent card but does not meet speed specifications.,1386460800,8/12/2013,483,0,0
A3A7P4GLA07YCN,B007WTAJTO,BL,"[0, 0]","I haven't done any formal benchmarks, but the device seems pretty slow. I haven't seen any real performance boost vs. my old card even on bulk file copies. I have another 8GB samsung card that may be a knockoff that performs noticeably better than this card.I'm using it anyway. I don't really have the time to return it or anything.",2,Seems pretty slow,1393545600,2/28/2014,283,0,0
AN59B85WR7QBN,B007WTAJTO,bobgene,"[0, 0]",I have nothing to use this device with. I ordered by mistake. I'm sure it's a great product but not for me.,2,I don't rember ordering this,1389225600,9/1/2014,98,0,0
A3VKX538JBM5EG,B007WTAJTO,Bob,"[0, 0]",I could not get this brand of memory card to work in my Roku.  It would not format correctly.  I had to return this for another brand which worked ok.,2,Would not work in Roku,1390348800,1/22/2014,320,0,0
AQBONOVMFN4Z1,B007WTAJTO,boh521,"[0, 0]","I purchased this Micro SD card to add storage to my Acer tablet. Unfortunately the tablet did not recognize the device. After uninstalling the card several times I decided to use it in my Samsung phone and it works fine there.If you are going to buy this product for a tablet, I recommend you do you research and make sure it's compatible.",3,Acer Iconia A500 does not recognize this SD card,1357171200,3/1/2013,647,0,0
A2Y50SME6VPWYO,B007WTAJTO,"boomer ""Boomer""","[0, 1]","Picked up this memory card at a great price on a gold box deal. Reputable name, fast card. However, after several months of trying to get my phone to work with the card, formatted it, partitioned it. &#34;mounted&#34; the card, &#34;unmounted the card,&#34; all to no avail.  I realized that this memory card is not compatible with my Samsung SGH-T769 (Galaxy S 4G). No need to get frustrated and try a Sandisk &#34;Ultra&#34; 32GB Class 10 card in the phone. I replaced this card with a &#34;plain&#34; Sandisk 32GB Class 4 card in my phone, it was immediately recognized, formatted and mounted by the Samsung phone.YMMV",3,Great product (if it works in your model phone),1356825600,12/30/2012,708,0,1
A3UJMEGL6UXE7T,B007WTAJTO,Born Old,"[0, 0]","I bought this to use as expanded storage in my Asus Transformer Book T100 but it was unstable and I have had to return it. Although the tablet would see the card when it was first inserted there would be errors trying to copy files onto it and then Windows would indicate that it needed formatting. If I tried a quick format then everything seemed to be OK but the instability would return as soon as I tried to copy data to the card. If I tried a full format it always failed.I gave it two starts because it seemed to work using the supplied SD adapter in a Windows 7 laptop. I was able to do a full format on that but, when I put it back into the tablet, the problems continued. The tablet is compatible with SDXC cards and, when I tried a different micro SD card in the tablet, it worked fine so I assume it was a problem with this card.",2,Did not work for me.,1387756800,12/23/2013,350,0,0
A2YD1WP7I1BW00,B007WTAJTO,Bozvotros,"[0, 0]",I am having some trouble with it in my cell phone (Motorola Triumph)  Music player has not been reliable since I loaded songs on it.  Not sure if it is the card or my phone and it is not a consistent problem.  I need to try it on a few other devices.,3,Hmmmmm.  Maybe.  Maybe not,1355702400,12/17/2012,721,0,0
A3A2MI11YF663Z,B007WTAJTO,brent8577,"[0, 0]","this card would not show 64 GB until i spent $60 on a card reader that supports sdxc, and after doing that, it is transferring at class 1 speed. i managed to get it formatted in FAT32 with 59 GB free for my Cowon J3, but it's taking 10 hours to transfer 30 GB to it. i got a refund because this is not the service and quality i paid for. i just hope the music lists on my PMP when i turn it on tomorrow. i have it in the microSDXC slot of the AFT PRO-57U, which is connected to a Syba VIA VL800 USB 3.0 card. feel free to tell me i am doing it wrong and how to get class 10 speed.UPDATE: the transfer finished, but the data does not show in my Cowon J3, so the early versions that worked are gone. do not buy these for a device that is not SDXC specific because they have changed something in them.",2,"compatibility issues, VERY slow write speed",1348444800,9/24/2012,805,0,0
A2ZJ0BEAL0D5SN,B007WTAJTO,Carlos,"[1, 2]","It may be that the internal SD slot of the 2012 Mac Book Air is not too fast perhaps?  I am very disappointed that I can only achieve 4-9 MB/s of write/read speed.  Makes me remember speeds of 5 years ago.  Again, this may be the computer's fault, but I am not too happy...",3,good amount of storage but pretty slow in my view...,1345075200,8/16/2012,844,1,2
ADCLG1T5X6S0,B007WTAJTO,C. Escobar,"[0, 0]",after 3 months would not read at all. Used all sorts of card readers and computers and internals went completely dead. Strange for a product from this company but i guess it happens. May not happen to you but since it's a high capacity would that mean it's more susceptible to becoming corrupted? Would not buy again. (maybe a 16gb),3,Was going great then....,1368662400,5/16/2013,571,0,0
A1E583CT30Y9IU,B007WTAJTO,Chadd Ingersoll,"[1, 1]","Lasted about 8 months of daily use in my Android phone. But yesterday it stopped performing writes and then failed altogether. While it was working, reads were incredibly fast and writes were pretty good as well.",3,was a great card for about 8 months,1377734400,8/29/2013,466,1,1
A4IEWHSTUI5HM,B007WTAJTO,Chris Mathews,"[0, 0]",It work great in my Asus Tablet for 3 months then it just completely died. It was not recognized by any of my devices. It had just died.I have RMA'd it to Sandisk. The prcess was painless and my replacement should arrive within a few days. They emailed me a return label thru UPS and sent it off last week.When it worked the performance was great and access times were very fast. No lag in reading and writing data.If you get this just make sure you have a back up of your data incase of failure. Had my Tablet synced to my cloud service so I did not lose anything. I have purchased other Sandisk items and have never had a issue.,3,.... Died after 3 months. Had to RMA with Sandisk,1400284800,5/17/2014,205,0,0
A3QVNG965KWNXJ,B007WTAJTO,Christopher Coppock,"[0, 0]",Great card but have had some issues with my GoPro 3 with this one. Maybe a firmware update will help my situation.,3,Good card but some issues.,1386115200,4/12/2013,605,0,0
AAAUPKP8O7YFU,B007WTAJTO,"Classical Lawyer ""Music Lover""","[0, 0]","I was given this card in October to add to my new Samsung Galaxy S3. I was thrilled I copied a ton of music onto the card and used my phone as my mobile Ipod substitute, leaving my Ipod Classic on my desktop in its speaker system cradle.Everything worked fine until a couple of weeks ago. I started getting messages that seemed to say that I had removed and inserted the memory card. Of course, I hadn't touched it. Then a few days ago the phone told me that the card contained unsupported files and that I needed to reformat it. Well, I tried reformatting. After that, nothing. Nothing at all. I pulled the memory card, reset the phone. Reinserted the card. Nothing. I tried the card in the adapter on 3 computers. It wasn't even visible.I called Sandisk tech support. It didn't take terribly long to convince them that I had a problem. But they quickly offered me two 16 gb cards as a replacement. I literally laughed at them. I got the disturbing sense that this is something that they are required to try. If so, that's a lousy business practice. After bouncing me around a few time, they agreed to send me an RMA and a shipping label. I duly sent the card off a couple of days ago. To be frank, I have no idea at all when I might receive a replacement.If I weren't already in the grips of Sandisk, I would buy another card. The fact that 10% of the comments here are negative is an indication of a real quality control problem. A 10% fail rate is simply unacceptable for a product such as this.Update: Well, I do have to give Sandisk credit for customer support. I returned the card using the supplied UPS label on a Tuesday and I received a replacement by UPS on the following Monday. That's very good service. It does, however, increase my suspicion about the offer of two 16 gb because the 32 gb cards were ""out of stock."" If they were out of stock, they sure got ""in stock"" in a big hurry. In any event, I've upped my rating to two stars.",2,Fine until it failed.,1359590400,1/31/2013,676,0,0
A3SS042FJQJN39,B007WTAJTO,Clutch,"[0, 0]","Gets the job done for my GoPro so that's good. I just never liked how small the actual card is due to its nature of it might just get lost...then that's game over. The price was amazing, so I got two for the price of half of one.",3,Need memory?,1389312000,10/1/2014,68,0,0
A2CNXHY0N7C899,B007WTAJTO,color me satisfied,"[0, 0]",Tried this with its adapter on DSLR Camera and got some errors at times while trying to save data to card.  It is ok for other uses like computer external data.,2,Good Card ........ bad application.,1366416000,4/20/2013,597,0,0
A2FY5MB92979TG,B007WTAJTO,Con Sumer,"[3, 5]","Formatted card with SDFormatter 3.1PC used to test this card Sony vaio C2D sz645 + vaio memory card adapter VGP-MCA20A.h2testw 1.4 test results:Test finished without errors.Writing speed: 6.94 MByte/sReading speed: 12.5 MByte/sH2testw v1.4Android phone Samsung Exhibit 2SDTools test result:9.3MB/s write21.3MB/s readAlso tested write speed with an older model Sandisk usb 2.0 sd card reader and cheap generic unbranded reader, get about same results. I don't have any devices that can handle UHS-1 ""ultra"" speed of this card. Seems like a class 6 card or none of my gadgets can handle 10MB/s write speed or it's a class 6 card sold as class 10.",3,16GB C10 UHS-1,1344556800,10/8/2012,791,3,5
A3IW5VKCRVC3DU,B007WTAJTO,CoreyCoop,"[0, 1]","I was working with a three of these cards using the included adapter, and thought they were slower than they should be.  I just bought a full size Sandisk Ultra 16GB class 10 (all the same specs except size theoretically) for a different project, and it writes over twice as fast on the same computer! The write speed on this card is between 7 and 10 MB/s, the read seems to be 35MB/s, compared to the full size card with write speed of 22 to 25MB/s and a read speed of 42MB/s (this is from an imaging program, not a benchmark program, so it's not checking different sizes of transfer and the like).  Compare that with a Transcend 4 GB Class 4 card, the write speed is nearly identical (7 to 9MB/s), while the read speed on the class four is 12 to 13MB/s, significantly slower, as expected.The read speed is good, but the write speed is abysmal!  If it says ""Class 10"", it should be somewhat close to the Class 10 spec.I'm returning them.",2,"Slower than Sandisk full size SDHC card, all the same specs",1378771200,10/9/2013,425,0,1
A1THCY79HLXT2O,B007WTAJTO,DaiLon,"[0, 0]","Before doing research, i assumed this card would support my brand new Hero 3 camera... considering it was sold off the Gopro site, it was a no brainer... or so i thought.Anyhow, the card seems to preform well under most circumstances WITHOUT using the Protunes settings. (The problems with the Hero 3 where due to the slow write speed of this card under Protunes settings, without this setting the Hero works fine)However, after a few timelapse issues (2 - 5 sec timelapse, which is well in this card's speeds).I noticed the card is corrupt. I tested this in other cameras and found that this problem still persists. I trust Sandisk as my top choice for all my professional work, however this card has failed!I would not recommend this EXPENSIVE card, id jump for a Samsung, or even the Transcend cards. They even come with a better warranty then this card.Nothing but problems and lost memories that i cant replace....",2,Bought this for my Gopro Hero 3,1376870400,8/19/2013,476,0,0
A3SL0HA6422W4M,B007WTAJTO,Dale Thorn,"[0, 0]","I bought two of these 128 gb MicroSD cards which I formatted to Fat32, and I currently have about 62 gb in 35,000 files on each card.  I carry one card in my wallet and keep one in a safe deposit off-site.  I've been through the SanDisk literature looking to see if there are any restrictions on their use, other than as ordinary &#34;flash memory&#34; for file storage.  There are no restrictions I could find.  What I have found is that these 128 gb cards (and a SanDisk 64 gb card I bought previously) cannot accept 62 gb of data written from a computer without suffering errors.  I've had to resort to copying no more than 1/3 gb of data at a time to these cards, stopping, then starting another 1/3 gb until the complete data is copied.  The errors actually occur early on, at approximately the 2 to 3 gb point.  I have several other 128 gb flash memory sticks - the Lexar Echo series, as well as a hundred other lower-capacity flash memory cards, and do not have this overflow/error problem with any of those.  To repeat, there are no restrictions on the use of these memory cards (example: can be used only in a camera) given by SanDisk, and given that the 62 gb of data on each card has been verified as to integrity, they are not defective.",3,SanDisk Ultra 128 gb MicroSD Card review by Dale,1404086400,6/30/2014,161,0,0
A2AKDEBXR889PE,B007WTAJTO,Dan,"[0, 0]","The GoPro seems a bit finicky about card speeds since the last firmware upgrade I applied. The cards I've been using for quite a long time started causing it to randomly report errors and stop recording. I got a couple of these SanDisk cards and I've got the Hero powered via the USB port so I can fill the cards repeatedly without running out of battery. No errors reported so far, and I've completely filled one card twice and the other three times.I haven't always had the best luck with SanDisk but these are working well so far. Fingers crossed that they last a while, I use the camera to record off-road and &#34;brisk&#34; dual-sport rides.",3,Works in GoPro Hero 2,1387324800,12/18/2013,355,0,0
A1R17VX378V8OF,B007WTAJTO,Danny,"[0, 0]","Bought this card for my Galaxy S4 and after installing it and loading my music, the card was randomly ejecting itself. After like the 3rd ejection of the morning, the phone reported that the card needed to be reformatted because it was damaged, so I reformatted. The random SDCard ejection and Damaged card kept coming up. After googling, I read that the Galaxy series phones are known to have compatibility issues with SanDisk cards and its a hit or miss, some phones have no issues. I have replaced this card already, which Amazon, shipped me a 2nd card within a few days, but the same problems arise. Not sure if I should switch to a different brand, but this card is definitely useless to me for the time being. Maybe I can give it away to a friend who doesn't have an S4. :/",2,Damaged Card but may not be Seller's fault,1397779200,4/18/2014,234,0,0
A11YEFVUVOERA2,B007WTAJTO,Darrell,"[0, 0]","I've had the item 12 months. I've always had minor problems. It just recently started freezing and rebooting my devices. 2 GS3's, currently S4. SanDisk is sending me a new one.",3,Started freezing & rebooting my devices after 12 mouths,1387238400,12/17/2013,356,0,0
AZ5977P4TLSKG,B007WTAJTO,"Dave & Dessa ""Addictive""","[0, 0]",Doesn't work in my s2 skyrocket but works in my Xoom. Odd but I have to suffer with it. Seems about the same as my class 4. Will not get sandisk again unless its tons cheaper. 1 was stolen by some tweakers which sucks,3,Doesn't work in my s2 skyrocket but works in my ...,1404691200,7/7/2014,154,0,0
